MEDICATION,NOTE,FOOD,BE_CAREFUL,DO_NOT_GIVE,SIDE_EFFECTS,INTERACTIONS,PREGNANCY,BREAST_FEEDING,IMPORTANT,
Primaquine," - If the patient has another Pv infection after 14 days from the first:
repeat 14 days treatment. 
- If a Primaquine dose is missed, DO NOT TAKE DOUBLE DOSE. 
Continue normal dose until all tablets have gone. The important is to take 14 
doses, even if this takes 15 days or more.
- If you do not know G6PD status, do NOT give Primaquine daily, but weekly.
- Primaquine tablets are very bitter if crushed: for children mix with juice or 
sugar.
- If there is vomiting within 30 minutes, repeat the dose.
- If possible, supervise treatment
- Educate patient to strop treatment and come to clinic if they see any signs of
bleeding (dizziness, difficult breathing, blood from the g",Better to take after food to decrease gastric upset.,,Children less than 6 months.,"Nausea, vomiting, abdominal pain",,Do not give,Give only if necessary,
Quinine,Always give in combination with Doxycycline or Clindamycin,"- Can be taken with food or without food, but better to take with food to 
decrease stomach upset (especially in children).
- Swallow whole to avoid bitter taste.","Heart disease, old people, liver and kidney disease, G6PD 
deficiency.","Optic neuritis, ringing ear (tinnitus).","Headache, ringing ear (tinnitus), hot and flushed skin, nausea, 
abdominal pain,rashes, visual disturbances (also temporary 
blindness), confusion.",,Can give,Can give,
Sertraline," It can take 6 - 8 weeks for this drug to take full effect, but the side effects
appear in the first week of treatment. This must be explained carefully to the
patient and the family: in the first few weeks of treatment the patient may
feel worse and suicide risk is increased. To stop therapy, reduce slowly by 25 mg every 2 - 4 weeks.",Can be taken with or without food,"See Fluoxetine. 
Also Kidney disease","See Fluoxetine. 
Also liver disease.","See Fluoxetine. 
Also: aggression, hepatitis, hypertension, low blood sugar
(hypoglycaemia), jaundice, palpitations, numbness, ringing in
the ears (tinnitus).",See Fluoxetine,Can give,Can give,
Silver Sulfadiazine cream,,,,Babies < 2 months.,,,,,
Sodium Valproate,"- To stop therapy, reduce slowly over 2 - 3 months.
- If possible check blood levels and liver function test regularly.",Better to take with food to avoid gastric upset.,Liver disease,"- Children < 3 years old: high risk of liver failure.
- Women 15 - 45 years who are not taking contraceptions (also 
if SINGLE!): Sodium Valproate can cause major malformations!","Headache, drowsiness, dizziness, difficult to sleep, nausea, 
gastric upset, vomiting, weight gain, low platelets, hair loss, 
tremor, double vision, blurred vision, hyperactivity, sleepiness, 
hearing loss, rash.","Cloxacillin, Doxycycline, Fluconazole, Isoniazid,Itraconazole,
Paracetamol increase risk of liver damage. ",Do not give.,Do not give.,
Spironolactone,,,Old people; liver and renal diseases.,High Potassium.,"Nausea, impotence, gynaecomastia (increase of breast size), 
irregular periods, feeling sleepy, headache, high Potassium.","- Indomethacin increases risk of high Potassium.
- Aspirin and Combined Oral Contraceptives increase diuretic 
effect.",Do not give.,Do not give.,
Tafenoquine,,,G6PD deficiency,,,,,,
Terramycin eye ointment,For trachoma use for 6 weeks.,,,,,,,,
Tramadol,"Reduce dose in elderly, kidney and liver failure",,"Asthma, Chronic Obstructive Pulmonary Disease (COPD), 
hypotension, epilepsy.","Coma, acute respiratory depression (sudden difficulty in 
breathing), children.","Drowsiness, constipation, hypotension, dizziness, 
hallucinations.",,Do not give,Give only if necessary,
Vitamin A,"Vitamin A capsules come in two sizes: 200,000 IU and 25,000 IU. 
Check carefully the strength of the capsules.",,Do not give more than recommended dose,,,,"Do not give high dose (can give 25,000 IU dose).",,
Vitamin B1,,,,,,,,,
Zinc,"In Thailand we find mostly Zinc Gluconate 105 mg, which contains 15 mg of 
elemental zinc.
For this reason the protocol of WHO (to give Elemental Zinc 10 mg OD to 
children < 6 months and 20 mg OD to children > 6 months) has been 
adapted",To take with food to decrease gastric upset.,,,,,,,
